活動名稱,連結,開始時間,結束時間,主辦單位,連絡電話,聯絡Email,地點,費用,參加對象,縣市,類型
【第一次創業，行銷就上手】講座,https://fb.me/e/13Ds16dbo,2023/8/31 14:00,2023/8/31 15:00,優雅客新北台北橋創業空間,(02)2974-8813,joanna.peng@yaker183.com,臺北市中山區南京東路二段101號,免費,無資料,臺北市,課程
112年【高雄場】青年創業家交流聚會,https://www.careernet.org.tw/n/Class-14426.html,2023/9/1 14:00,2023/9/1 17:00,經濟部中小企業處/社團法人中華民國管理科學學會/社團法人中華民國全國創新創業總會,02-23328558#355  朱小姐,355@careernet.org.tw,高雄市亞灣新創園  3F展演廳,免費,無資料,高雄市,活動
女性創業飛雁計畫-LINE行銷策略與廣告說明,https://woman.sysme.org.tw/Article/Visitor/Article_Detail.aspx?ArticleItemId=1518,2023/9/7 13:30,2023/9/7 16:30,經濟部中小企業處,07-3321068#20 應小姐,sysme058@gmail.com,高雄市財團法人中山管理教育基金會(本活動為線上直播),免費,女性,高雄市,線上
(免費活動)品牌行銷實戰技巧[高雄場],https://www.careernet.org.tw/n/Class-14515.html,2023/9/8 13:30,2023/9/8 16:30,經濟部中小企業處,0800-589168*3,367@careernet.org.tw,高雄市鹽埕區大勇路11號,免費,無資料,高雄市,活動
SoGal x WEpreneurs 共同舉辦 商機媒合資源交流午餐會,https://www.wepreneurs.co/event/event09,2023/9/13 12:00,2023/9/13 14:00,SoGal x WEpreneurs,info.wepreneurs@gmail.com,info.wepreneurs@gmail.com,臺北市大安區羅斯福路三段245號,收費,"女性,國際主題",臺北市,活動
2023EMBA企業學習論壇>>壓力下的優雅，我學到的人才永續一堂課,https://bit.ly/3OiJYiN,2023/9/14 09:00,2023/9/14 17:00,EMBA雜誌,02-2768-0105,service2@emba.com.tw,臺北市松山區敦化南路一段108號,收費,無資料,臺北市,活動
2023女性創業飛雁計畫-LINE 後台功能操作設定,https://woman.sysme.org.tw/Article/Visitor/Article_Detail.aspx?ArticleItemId=1518,2023/9/14 13:30,2023/9/14 16:30,經濟部中小企業處,07-3321068#20 應小姐,sysme058@gmail.com,高雄市財團法人中山管理教育基金會(本活動為線上直播),免費,女性,高雄市,線上
2023年國家圖書館創業資訊素養課程---「從創客到創業：AI浪潮下的全球創客新趨勢」,https://actio.ncl.edu.tw/activitydetails?uid=2&pid=446,2023/10/16 09:00,2023/10/16 17:00,國家圖書館,(02) 2361-9132 分機237,無資料,臺北市中正區秀山街4號,免費,無資料,臺北市,活動
【臺中場】創創火箭營工作坊 Rock the Future 創新者招募中！,https://www.accupass.com/event/2307050550081446868416,2023/9/2 09:00,2023/9/3 17:00,教育部青年發展署,02-2505-6789 ext.5153,2017rtf@gmail.com,臺中市西屯區福星北路18號,免費,無資料,臺中市,活動
【臺北場】創創火箭營工作坊 Rock the Future 創新者招募中！,https://www.accupass.com/event/2307240724141033747325,2023/10/28 09:00,2023/10/29 17:00,教育部青年發展署,02-2505-6789 ext.5153,2017rtf@gmail.com,臺北市士林區中山北路七段127號,免費,無資料,臺北市,活動
